"State_Name","Constituency_No","Constituency_Name","Year","Assembly_No","volatility"
"Andhra_Pradesh",1,"ICHAPURAM",1967,4,23.03
"Andhra_Pradesh",1,"ICHAPURAM",1972,5,12.03
"Andhra_Pradesh",1,"ICHAPURAM",1978,6,92.75
"Andhra_Pradesh",1,"ICHAPURAM",1983,7,88.565
"Andhra_Pradesh",1,"ICHAPURAM",1985,8,77.89
"Andhra_Pradesh",1,"ICHAPURAM",1989,9,19.655
"Andhra_Pradesh",1,"ICHAPURAM",1994,10,26.67
"Andhra_Pradesh",1,"ICHAPURAM",1999,11,26.67
"Andhra_Pradesh",1,"ICHAPURAM",2004,12,7.48
"Andhra_Pradesh",1,"ICHCHAPURAM",2019,15,13.24
"Andhra_Pradesh",2,"PALASA",2019,15,19.47
"Andhra_Pradesh",2,"SOMPETA",1967,4,38.79
"Andhra_Pradesh",2,"SOMPETA",1972,5,9.2
"Andhra_Pradesh",2,"SOMPETA",1978,6,96.32
"Andhra_Pradesh",2,"SOMPETA",1983,7,96.32
"Andhra_Pradesh",2,"SOMPETA",1985,8,62.79
"Andhra_Pradesh",2,"SOMPETA",1989,9,40.675
"Andhra_Pradesh",2,"SOMPETA",1994,10,31.625
"Andhra_Pradesh",2,"SOMPETA",1999,11,27.6
"Andhra_Pradesh",2,"SOMPETA",2004,12,13.715
"Andhra_Pradesh",3,"TEKKALI",1972,5,33.175
"Andhra_Pradesh",3,"TEKKALI",1978,6,66.265
"Andhra_Pradesh",3,"TEKKALI",1983,7,75.18
"Andhra_Pradesh",3,"TEKKALI",1985,8,65.705
"Andhra_Pradesh",3,"TEKKALI",1989,9,13.05
"Andhra_Pradesh",3,"TEKKALI",1995,10,13.445
"Andhra_Pradesh",3,"TEKKALI",1999,11,12.95
"Andhra_Pradesh",3,"TEKKALI",2004,12,23.31
"Andhra_Pradesh",3,"TEKKALI",2014,14,67.795
"Andhra_Pradesh",3,"TEKKALI",2019,15,4.025
"Andhra_Pradesh",4,"HARISCHANDRAPURAM",1972,5,48.035
"Andhra_Pradesh",4,"HARISHCHANDRA",1983,7,71.4
"Andhra_Pradesh",4,"HARISHCHANDRA",1985,8,72.435
"Andhra_Pradesh",4,"HARISHCHANDRA",1999,11,8.41
"Andhra_Pradesh",4,"PATHAPATNAM",2019,15,8.84
"Andhra_Pradesh",5,"NARASANNAPETA",1967,4,21.21
"Andhra_Pradesh",5,"NARASANNAPETA",1972,5,29.54
"Andhra_Pradesh",5,"NARASANNAPETA",1978,6,78.25
"Andhra_Pradesh",5,"NARASANNAPETA",1983,7,78.25
"Andhra_Pradesh",5,"NARASANNAPETA",1985,8,58.05
"Andhra_Pradesh",5,"NARASANNAPETA",1989,9,10.11
"Andhra_Pradesh",5,"NARASANNAPETA",1994,10,14.33
"Andhra_Pradesh",5,"NARASANNAPETA",1999,11,9.165
"Andhra_Pradesh",5,"NARASANNAPETA",2004,12,2.78
"Andhra_Pradesh",5,"SRIKAKULAM",2019,15,14.505
"Andhra_Pradesh",6,"AMADALAVALASA",2019,15,11.49
"Andhra_Pradesh",6,"PATAPATNAM",1972,5,23.33
"Andhra_Pradesh",6,"PATAPATNAM",1978,6,97.79
"Andhra_Pradesh",6,"PATAPATNAM",1983,7,61.5
"Andhra_Pradesh",6,"PATAPATNAM",1985,8,71.545
"Andhra_Pradesh",6,"PATAPATNAM",1999,11,11.17
"Andhra_Pradesh",6,"PATAPATNAM",2004,12,5.825
"Andhra_Pradesh",7,"ETCHERLA",2019,15,10.14
"Andhra_Pradesh",7,"KOTHURU",1967,4,38.67
"Andhra_Pradesh",7,"KOTHURU",1972,5,67.685
"Andhra_Pradesh",7,"KOTHURU",1978,6,82.99
"Andhra_Pradesh",7,"KOTHURU",1983,7,82.995
"Andhra_Pradesh",7,"KOTHURU",1985,8,64.33
"Andhra_Pradesh",7,"KOTHURU",1994,10,12.74
"Andhra_Pradesh",7,"KOTHURU",1999,11,15.83
"Andhra_Pradesh",7,"KOTHURU",2004,12,9.06
"Andhra_Pradesh",8,"NAGURU",1967,4,40.99
"Andhra_Pradesh",8,"NAGURU",1972,5,64.07
"Andhra_Pradesh",8,"NAGURU",1978,6,57.45
"Andhra_Pradesh",8,"NAGURU",1983,7,57.455
"Andhra_Pradesh",8,"NAGURU",1985,8,50.54
"Andhra_Pradesh",8,"NAGURU",1989,9,1.435
"Andhra_Pradesh",8,"NAGURU",1994,10,23.1
"Andhra_Pradesh",8,"NAGURU",1999,11,31.775
"Andhra_Pradesh",8,"NAGURU",2004,12,48
"Andhra_Pradesh",8,"NARASANNAPETA",2019,15,11.225
"Andhra_Pradesh",9,"PARVATHIPURAM",1967,4,55.58
"Andhra_Pradesh",9,"PARVATHIPURAM",1972,5,55.58
"Andhra_Pradesh",9,"PARVATHIPURAM",1978,6,69.575
"Andhra_Pradesh",9,"PARVATHIPURAM",1983,7,69.575
"Andhra_Pradesh",9,"PARVATHIPURAM",1985,8,70.035
"Andhra_Pradesh",9,"PARVATHIPURAM",1989,9,11.665
"Andhra_Pradesh",9,"PARVATHIPURAM",1994,10,7.295
"Andhra_Pradesh",9,"PARVATHIPURAM",1999,11,16.4
"Andhra_Pradesh",9,"PARVATHIPURAM",2004,12,8.715
"Andhra_Pradesh",10,"SALUR",1972,5,81.245
"Andhra_Pradesh",10,"SALUR",1978,6,100
"Andhra_Pradesh",10,"SALUR",1983,7,92.13
"Andhra_Pradesh",10,"SALUR",1985,8,69.02
"Andhra_Pradesh",10,"SALUR",1989,9,7.73
"Andhra_Pradesh",10,"SALUR",1994,10,19.75
"Andhra_Pradesh",10,"SALUR",1999,11,10.305
"Andhra_Pradesh",10,"SALUR",2004,12,8.455
"Andhra_Pradesh",11,"BOBBILI",1972,5,26.04
"Andhra_Pradesh",11,"BOBBILI",1978,6,58.35
"Andhra_Pradesh",11,"BOBBILI",1983,7,58.345
"Andhra_Pradesh",11,"BOBBILI",1985,8,72.21
"Andhra_Pradesh",11,"BOBBILI",1989,9,24.705
"Andhra_Pradesh",11,"BOBBILI",1994,10,22.105
"Andhra_Pradesh",11,"BOBBILI",1999,11,22.92
"Andhra_Pradesh",11,"BOBBILI",2004,12,4.89
"Andhra_Pradesh",11,"KURUPAM",2019,15,22.87
"Andhra_Pradesh",12,"PARVATHIPURAM",2019,15,17.55
"Andhra_Pradesh",12,"PEDAMANAPURAM",1972,5,0.0300000000000011
